지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
108,2018-07-01 1:00,22.7,,0.5,110,87,
108,2018-07-01 2:00,22.7,,0.5,70,87,
108,2018-07-01 3:00,22.7,,0.7,110,86,9
108,2018-07-01 4:00,22.7,,0.7,70,85,10
108,2018-07-01 5:00,22.6,0.1,0.5,70,86,10
108,2018-07-01 6:00,22.3,0.4,0.6,140,93,10
108,2018-07-01 7:00,22.1,0.5,0.5,110,89,10
108,2018-07-01 8:00,22.1,1,0.5,110,93,10
108,2018-07-01 9:00,22.1,1.5,0.9,50,94,10
108,2018-07-01 10:00,21.6,12,0.5,140,97,10
108,2018-07-01 11:00,21.2,18.5,1.2,90,97,10
108,2018-07-01 12:00,21.1,7.5,1.2,90,97,10
108,2018-07-01 13:00,21.2,3.5,1.1,110,97,10
108,2018-07-01 14:00,21.5,1,0.7,90,97,10
108,2018-07-01 15:00,21.8,5.5,0.7,70,97,10
108,2018-07-01 16:00,22.2,1,1.1,140,97,10
108,2018-07-01 17:00,22.4,1.5,0.4,0,96,10
108,2018-07-01 18:00,22.2,3.5,1.2,110,96,10
108,2018-07-01 19:00,21.9,5.5,1.2,110,96,10
108,2018-07-01 20:00,21.9,6,1.1,110,97,10
108,2018-07-01 21:00,21.8,3.5,0.6,140,97,10
108,2018-07-01 22:00,21.7,3.5,0.7,140,97,10
108,2018-07-01 23:00,21.5,5,1.5,90,97,10
108,2018-07-02 0:00,21.4,2.5,0.6,70,97,10
108,2018-07-02 1:00,21.3,3,1,90,97,10
108,2018-07-02 2:00,21.2,2,0.8,110,97,10
108,2018-07-02 3:00,21.1,4.5,2.4,160,96,10
108,2018-07-02 4:00,20.8,4,1,90,97,10
108,2018-07-02 5:00,20.7,0.5,0.3,0,97,10
108,2018-07-02 6:00,20.7,1,0.3,0,97,10
108,2018-07-02 7:00,20.7,0.5,0.4,0,97,10
108,2018-07-02 8:00,20.8,1.5,0.4,0,96,10
108,2018-07-02 9:00,21,3,1.3,50,97,10
108,2018-07-02 10:00,21.4,1,0.6,70,97,10
108,2018-07-02 11:00,21.7,8,0.5,70,97,10
108,2018-07-02 12:00,22.4,0,1,50,97,10
108,2018-07-02 13:00,22.6,0.5,0.6,50,97,10
108,2018-07-02 14:00,23.3,0,0.3,0,96,10
108,2018-07-02 15:00,24.2,0,1,50,93,9
108,2018-07-02 16:00,25.2,0,0.9,20,87,10
108,2018-07-02 17:00,25.3,,0.6,50,87,10
108,2018-07-02 18:00,24.9,0,1.9,140,87,10
108,2018-07-02 19:00,24.1,1.5,2.1,160,93,10
108,2018-07-02 20:00,23.5,24,0.1,0,97,10
108,2018-07-02 21:00,23.4,1,0.4,0,98,10
108,2018-07-02 22:00,23.4,2.5,0.3,0,98,10
108,2018-07-02 23:00,23.4,0.5,0.3,0,98,10
108,2018-07-03 0:00,23.2,0.5,0.2,0,98,8
108,2018-07-03 1:00,23.1,0,0,0,98,9
108,2018-07-03 2:00,23,,0.1,0,98,
108,2018-07-03 3:00,22.8,0,0,0,98,9
108,2018-07-03 4:00,22.7,0,0.2,0,97,9
108,2018-07-03 5:00,22.6,,0,0,97,5
108,2018-07-03 6:00,22.6,,0.1,0,95,8
108,2018-07-03 7:00,23.5,,0.2,0,86,8
108,2018-07-03 8:00,24.3,,0.5,70,83,8
108,2018-07-03 9:00,25.7,,0.8,110,76,6
108,2018-07-03 10:00,27.6,,1.6,70,71,2
108,2018-07-03 11:00,29.2,,1.4,140,66,7
108,2018-07-03 12:00,30.1,,1.2,70,64,7
108,2018-07-03 13:00,31.2,,1.3,110,54,6
108,2018-07-03 14:00,31,,1.5,90,56,7
108,2018-07-03 15:00,32,,1.2,90,54,7
108,2018-07-03 16:00,31.3,,1.2,50,52,7
108,2018-07-03 17:00,32.4,,2.2,20,50,5
108,2018-07-03 18:00,32.2,0,1.8,50,57,7
108,2018-07-03 19:00,30.4,0.1,0.9,70,62,7
108,2018-07-03 20:00,28.8,,0.9,20,72,
108,2018-07-03 21:00,27.8,,0.6,360,72,2
108,2018-07-03 22:00,26.9,,0.6,70,78,
108,2018-07-03 23:00,26.4,,0.3,0,78,
108,2018-07-04 0:00,25.9,,0.3,0,79,2
108,2018-07-04 1:00,25.4,,1,250,79,
108,2018-07-04 2:00,25.1,,0.2,0,82,
108,2018-07-04 3:00,24.9,,0.2,0,83,9
108,2018-07-04 4:00,24.7,,0.3,0,82,4
108,2018-07-04 5:00,24.2,,0.2,0,86,2
108,2018-07-04 6:00,24,,0.1,0,84,8
108,2018-07-04 7:00,24.6,,0.5,360,78,8
108,2018-07-04 8:00,26.4,,0.5,270,64,3
108,2018-07-04 9:00,27.4,,0.5,290,68,2
108,2018-07-04 10:00,28.5,,1.5,250,65,5
108,2018-07-04 11:00,30,,2.3,250,60,6
108,2018-07-04 12:00,30.5,,2.5,290,58,7
108,2018-07-04 13:00,31,,2.6,230,60,6
108,2018-07-04 14:00,31.3,,3,290,58,7
108,2018-07-04 15:00,31.1,,3.7,290,57,7
108,2018-07-04 16:00,31.6,,2.7,290,57,4
108,2018-07-04 17:00,31.2,,3.4,270,56,4
108,2018-07-04 18:00,30,,2.5,250,60,8
108,2018-07-04 19:00,28.2,,2.8,270,64,
108,2018-07-04 20:00,27.1,,2.9,290,67,
108,2018-07-04 21:00,26.2,,2.2,200,70,8
108,2018-07-04 22:00,25.1,,2.5,290,73,
108,2018-07-04 23:00,24.7,,1.4,230,74,
108,2018-07-05 0:00,24.2,,1.8,270,77,8
108,2018-07-05 1:00,23.9,,1.7,270,79,
